tranInstID,tranTimeStamp,tranTranCode,tranVendID,tranTranDate,tranLocation,tranCurrencyCD,tranTranAmount
123-456-7890,6,1507937094370,987-654-3210,10/18/17 18:24,store2,USD,15
123-456-7890,7,1507937094371,987-654-3210,10/19/17 18:24,store2,USD,35
123-456-7890,8,1507937094372,555-555-5555,10/20/17 18:24,store2,USD,48
555-555-5555,9,1507937094373,123-456-7890,10/21/17 18:24,store2,USD,7
987-654-3210,2,1507937094374,555-555-5555,10/14/17 18:24,store1,USD,50
555-555-5555,3,1507937094375,987-654-3210,10/15/17 18:24,store1,USD,200
987-654-3210,4,1507937094376,555-555-5555,10/16/17 18:24,store1,USD,25
987-654-3210,5,1507937094377,555-555-5555,10/17/17 18:24,store1,USD,30
987-654-3210,10,1507937094378,123-456-7890,10/22/17 18:24,store3,USD,10
555-555-5555,1,1507937094379,999-999-9999,10/13/17 18:24,SystemStart,USD,1000
