"AGY_AGENCY_KEY"	"FNDDTL_FUND_DETAIL_KEY"	"SRC_SOURCE_KEY"	"AMOUNT"
238	1400	555	286989.72
238	1400	555	170302.77
238	1400	555	1961833.41
238	1400	555	1124878.36
238	1400	555	100765
238	1400	555	459529.98
238	1400	555	544455.55
238	1400	555	93128
238	1400	555	2487603.79
238	1400	555	982862.72
238	1400	555	573856.87
238	9107	1788	74417.24
238	9107	1788	94955
238	9107	1788	1028971.8
238	9107	1788	38210
238	9107	1788	338797.75
238	9107	1788	17734
238	9107	1788	229399
238	9107	1788	196817.94
238	9107	1788	1972450.36
238	9107	1788	65261.89
238	9107	1788	62640.43
238	9107	1788	178300.52
238	9107	1788	167100.23
238	9107	1788	144260.36
238	9107	1788	2765458.17
238	9106	1788	116368.58
238	9106	1788	83442
238	9106	1788	90
238	9106	1788	100
238	9106	1788	116433.43
238	9106	1788	85631.82
238	9106	1788	-1739945.23
238	9106	1788	87003.1
238	9106	1788	39244.55
238	9106	1788	668
238	9106	1788	185
238	9106	1788	103152.24
238	9106	1788	103352.15
238	9106	1788	1056486.17
238	9106	1788	204148.49
238	1400	636	264
238	1400	636	-155
238	1400	636	36
238	1400	636	186
238	1400	636	-12
238	1400	636	288
238	1400	636	240
238	6744	719	5793
238	6744	719	253163
238	6744	719	5603
238	6744	719	9557
238	6744	719	73
238	6744	719	8461
238	6744	719	5683468.15
238	6744	719	384836.4
238	1400	1107	6281098.7
238	1400	1107	-5031663.96
238	1400	1107	1062389.41
238	1400	1107	1363449.17
238	6742	1107	-343469.81
238	6743	1107	3205642.83
238	6743	1107	2781128.22
238	1400	1107	591
238	1400	1107	-591
238	1400	1107	1314118.01
238	1400	1107	1000
238	1400	1107	5031663.96
238	1400	1107	-1000
238	9106	1793	-22565.7
238	9106	1793	-100514.44
238	9106	1793	249414.63
238	9106	1793	-16267.29
238	9106	1793	-71951.02
238	9106	1793	2178410.01
238	9106	1793	-16237.16
238	9106	1793	64656
238	6744	828	5882.81
238	6744	828	29912.5
238	6744	828	5268.94
238	6744	828	1.31
238	6744	828	5
238	6744	828	2654.66
238	9106	1788	158440.33
238	9106	1788	228770.43
238	9106	1788	99602.2
238	9106	1788	10
238	9106	1788	20
238	9106	1788	179393.4
238	9106	1788	-2025808.57
238	9106	1788	131703.13
238	9106	1788	566157.94
238	9106	1788	632723.02
238	9106	1788	599
238	9106	1788	150
238	9106	1788	174529.94
238	9106	1788	177542.34
238	9106	1788	-3491746.66
238	9106	1788	4028726.71
238	9106	1788	89880.94
238	9106	1788	200
238	9106	1788	225
238	9106	1788	227539.77
238	9106	1788	229138.97
238	9106	1788	216472.63
238	9106	1788	-116151.85
238	9106	1788	71559.27
238	6744	719	28620
238	6744	719	14235.25
238	6744	719	785733.72
238	6744	719	10385
238	6744	719	91377
238	6744	719	15696.4
238	6744	719	2843
238	6744	719	1436
238	6744	719	1500
238	6744	719	1820
238	6744	719	678
238	6744	719	11348
238	6744	719	1258
238	6744	719	-298722.01
238	6744	719	1761
238	6743	1107	-1097.27
238	6743	1107	2960976.05
238	6743	1107	2815149.21
238	6743	1107	3048753.21
238	6743	1107	-26604.15
238	9106	1793	200000
238	9106	1793	-200000
238	9106	1793	3178259.98
238	9106	1793	11780.75
238	9106	1793	182757
238	9106	1793	3379378.34
238	9106	1793	-176472740.39
238	9106	1793	176472740.39
238	9106	1793	2812.74
238	9106	1793	9500
238	9106	1793	-428927.92
238	6744	719	1664
238	6744	719	6514.12
238	6744	719	-593856.72
238	6744	719	8421
238	6744	719	178935
238	6744	719	13246
238	6744	719	1298
238	6744	719	2451
238	6744	719	1131
238	6744	719	208980.43
238	6744	719	17043
238	6744	719	1091.94
238	6744	719	15366
238	6744	719	-1225
238	6744	719	985
238	9106	1788	39497.39
238	9106	1788	340320.4
238	9106	1788	647851.12
238	9106	1788	103855.19
238	9106	1788	63412.48
238	9106	1788	341376.01
238	9106	1788	10
238	9106	1788	131435.64
238	9106	1788	142235.45
238	9106	1788	496841.87
238	9106	1788	175577.55
238	9106	1788	11929.24
238	9106	1788	-278744.46
238	9106	1788	299606.25
238	9106	1788	5240671.55
238	6744	719	7899
238	6744	719	1954
246	6850	754	198109.04
246	6850	754	-7532.7
246	6850	754	170
246	6850	754	550
246	6850	754	2875.2
246	6850	827	1790776
246	6850	827	-89543
246	6850	827	147321
246	6850	827	201974
246	6850	827	189348
246	6850	827	1086253
246	6850	827	59167
246	6850	754	1767.2
246	6850	754	-8919.55
246	6851	626	15453
246	6851	626	1275
246	6851	626	1739
246	6851	626	1789
246	6851	626	537
246	6851	626	2131
246	6851	626	8905
246	6851	626	484
246	6851	626	243
246	6851	626	449
246	6851	626	195
246	6851	626	842
246	6851	626	1124
246	6851	626	685
246	6851	626	2159
246	6846	1107	977.06
246	6846	1107	146.98
246	6846	1107	957.54
246	6846	1107	463.8
246	6846	1107	176.22
246	6846	1107	501.42
246	6846	1107	2725.22
246	6846	1107	1000.86
246	6846	1107	68.96
246	6846	1107	382.36
246	6846	1107	1502.44
246	6846	1107	117.38
246	6846	1107	1620.76
246	6846	1107	139.98
246	6845	829	10
246	6845	829	675
246	6845	829	53750
246	1584	625	190
246	1584	625	1530
246	1584	625	100
246	1584	625	2465
246	1584	625	2015
246	1584	625	84
246	1584	625	7467.06
246	1584	625	40
246	1584	625	200
246	1584	625	40
246	1584	625	592
246	1584	625	2958
246	6850	754	3015.47
246	6850	754	456.58
246	6850	827	64770
246	6850	827	-73949
246	6850	828	155.8
246	6850	828	794.74
246	6850	828	9925.51
246	6850	828	28523.73
246	6850	828	600.52
246	6850	828	1219.82
246	6850	828	42654.04
246	6850	828	5878.38
246	6850	828	4118.11
246	6850	828	2303.67
246	6850	828	1530.34
246	6933	1114	18.7
246	6933	1114	7.6
246	6933	1114	36.5
246	6933	1114	242.76
246	6933	1114	3.9
246	6933	1114	7.25
246	6933	1114	668.38
246	6933	1114	99
246	6933	1114	1305
246	6933	1114	15.75
246	6933	1114	12.6
246	6933	1114	773.85
246	6933	1114	239.5
246	6851	626	680
246	6851	626	8265
246	6851	626	2810
246	6851	626	16136
246	6851	626	5932
246	6851	626	14351
246	6851	626	11492
246	6851	626	540
246	6851	626	-183
246	6851	626	261
246	6851	626	309
246	6851	626	286
246	6851	626	136
246	6851	626	475
246	6851	626	37
246	6846	1107	2083.44
246	6846	1107	3272.26
246	6846	1107	1014.18
246	6846	1107	4112.49
246	6846	1107	50.62
246	6846	1107	1042.78
246	6846	1107	420.36
246	6846	1107	325.82
246	6846	1107	644.52
246	6846	1107	70.7
246	6846	1107	635.5
246	6846	1107	1098.94
246	6846	1107	154.76
246	6846	1107	898.84
246	6846	1107	1138
246	9092	1787	50
246	9092	1787	150
246	9092	1787	100
246	9092	1787	50
246	6844	691	7697.58
246	6844	691	24864.83
246	9092	1787	50
246	9092	1787	350
246	9092	1787	50
246	9092	1787	100
246	9092	1787	100
246	9092	1787	25.83
246	9092	1787	75
246	9092	1787	75
246	9092	1787	75
246	1584	625	1474
246	1584	625	340
246	1584	625	1475
246	1584	625	200
246	1584	625	631
